CIF_ID,REP_PERD_MTHS,DIS_AMT,avg_credit_to_debit_amt_ratio_3_weeks,schm_code_encoded,avg_eod_bal_3_weeks,AVG_DEBIT_CREDIT_COUNT_RATIO,FLOW_AMT,CUST_AGE,no_of_loan_accounts,DEFAULT_STATUS_ENCODED,Predictions,Probabilities
0430565,60,700000.0,0.0,3,0.0,0.0,17397.0,48,1,0,0,0.4742686374730056
0430532,60,300000.0,0.0,3,0.0,0.0,7456.0,31,1,0,0,0.4470624958393782
0427819,60,1450000.0,0.0,3,0.0,0.0,36037.0,34,1,0,0,0.4785973814457142
0429757,84,5250000.0,0.0,8,0.0,0.0,99841.0,52,1,0,0,0.2163431287778224
0437019,60,800000.0,0.0,3,0.0,0.0,19883.0,52,1,0,0,0.46688856367226755
0437011,60,1300000.0,0.0,3,0.0,0.0,32309.0,29,1,0,0,0.4621696816060121
0437541,72,7679000.0,0.0,3,0.0,0.0,165517.0,35,1,0,1,0.7089766780051094
0441314,60,409000.0,0.0,3,0.0,0.0,10165.0,39,1,0,0,0.4746174626809642
0435961,84,259000.0,0.0,8,0.0,0.0,5071.0,34,1,0,0,0.15297740389991313
0438291,60,409000.0,0.0,3,0.0,0.0,10165.0,29,1,0,0,0.4256374792535976
0440231,72,4045647.0,0.0,3,0.0,0.0,90000.0,50,1,0,1,0.6190861219585492
0443463,60,493349.0,0.0,3,0.0,0.0,12291.0,30,1,0,0,0.470937767133349
0447174,48,450000.0,0.0,3,0.0,0.0,12985.0,35,1,0,0,0.44959583621805266
0444024,60,1900000.0,0.0,3,0.0,0.0,47220.0,41,1,0,1,0.5126299696042376
0449555,84,8000000.0,0.0,3,0.0,0.0,163487.0,35,1,0,1,0.6944386346050279
0450591,60,4500000.0,0.0,1,0.0,0.0,357656.0,56,2,0,1,0.5541240827236315
0445294,60,1200000.0,0.0,3,0.0,0.0,29824.0,29,1,0,0,0.45921765208571685
0441807,72,700000.0,0.0,3,0.0,0.0,15573.0,29,1,0,0,0.4394515963421369
0452591,72,6400000.0,0.0,3,0.0,0.0,137949.0,44,1,0,1,0.7288523211417741
0454733,72,4025121.0,0.0,3,0.0,0.0,172436.0,32,1,0,1,0.6503200284700984
0008018,180,7721200.0,3.2169696969696973,4,1041158.9285714285,1.3333333333333333,45273.0,50,3,0,0,0.4615733412842884
0014162,180,13785596.07,0.0,4,0.0,0.0,461210.0,42,2,1,1,0.6934375354312375
0016674,84,6153076.0,0.0,1,0.0,0.0,126622.0,58,5,0,0,0.48910854101954837
0029636,60,1282500.0,0.0,9,0.0,0.0,26623.0,39,2,0,0,0.11789716117123028
0031271,60,4000000.0,0.6812180039575257,1,-960472.7363636363,0.5454545454545454,101148.0,63,14,0,0,0.2625271640835303
0029076,180,11000000.0,0.0,4,0.0,0.0,119820.0,42,1,0,1,0.7836738123092837
0032095,180,7738650.0,0.0,4,0.0,0.0,118088.0,45,2,0,1,0.7241653148560798
0038589,156,15433377.0,0.0,1,0.0,0.0,259614.0,40,1,0,1,0.715279941250332
0040952,60,6000000.0,0.848625,1,123239.68,0.75,137700.0,71,21,0,0,0.3900293455763389
0045617,216,23750000.0,5.297034327494538,4,254065.62170000002,3.5,267793.0,43,2,0,0,0.2603707676051819
0041120,60,1700000.0,0.0,3,0.0,0.0,42250.0,49,2,0,0,0.4439224710272351
0047528,180,1947176.0,0.0,4,0.0,0.0,34439.0,49,2,0,1,0.5001395809699285
0050440,16,394260.0,0.0,1,0.0,0.0,26972.0,40,2,1,1,0.5728154322936119
0052112,60,300000.0,0.0,3,0.0,0.0,7456.0,43,1,0,0,0.47916475397999314
0048809,180,11628447.0,0.0,4,0.0,0.0,160888.0,57,1,0,1,0.7367326509362209
0053352,180,8400000.0,0.0,4,0.0,0.0,128774.0,48,2,0,1,0.7416604309837117
0053717,180,10561819.0,0.0,4,0.0,0.0,66981.0,49,1,0,1,0.6371268378166551
0059241,180,7746325.0,0.0,4,0.0,0.0,143215.0,61,1,0,1,0.7246373882271976
0056183,60,6500000.0,0.825330403651725,1,-4482435.18,0.5,500408.0,66,7,0,0,0.2986005118515738
0061574,2,464070.75,0.0,6,0.0,0.0,464070.75,37,103,0,0,0.34252496686847794
0061521,12,20000000.0,0.0,2,0.0,0.0,15300000.0,60,1,0,1,0.5901448664962434
0063793,120,2351575.0,0.0,1,0.0,0.0,13217.0,57,5,0,0,0.2890660171845752
0065035,84,9311481.0,0.0,1,0.0,0.0,797888.0,65,3,1,0,0.4948954642420954
0073781,120,180000.0,0.0,5,0.0,0.0,2443.0,49,3,0,0,0.4624965935049854
0076989,60,4000000.0,0.879455685480591,1,30984.411538461536,0.6666666666666666,206834.0,59,4,0,0,0.41715665264024765
0084648,48,1500000.0,0.0,1,0.0,0.0,42419.0,39,1,0,0,0.4351161905428962
0083707,84,6000000.0,3.3792702888220076,1,233286.92666666667,4.333333333333333,120085.0,70,3,0,0,0.4309622179646354
0086045,120,4497054.0,0.0,4,0.0,0.0,104686.0,51,1,0,1,0.7005225705337864
0084814,60,15000000.0,0.0,1,0.0,0.0,363614.0,61,1,0,1,0.5717847470532662
0086982,60,3443226.0,0.0,1,0.0,0.0,265320.0,47,4,0,1,0.5463581795208382
0087585,180,4492318.0,0.0,4,0.0,0.0,71683.0,77,1,0,1,0.5515687852933905
0088241,84,26072975.15,0.0,1,0.0,0.0,809633.0,60,1,1,1,0.5292557657788973
0090020,120,5491380.0,0.0,4,0.0,0.0,98750.0,61,2,0,1,0.538098321624233
0095429,24,850000.0,0.0,1,0.0,0.0,42624.0,55,4,1,0,0.410670183577799
0105010,120,36192879.77,0.0,4,0.0,0.0,621557.0,43,3,0,1,0.6350784854483352
0099924,180,748757.0,0.0,4,0.0,0.0,10399.0,48,2,1,0,0.46522274388946966
0101491,180,35828177.0,0.0,4,0.0,0.0,616219.0,66,2,0,1,0.6249408243980894
0104005,240,1710000.0,0.0,1,0.0,0.0,39368.0,38,1,0,0,0.4392739486104849
0099998,36,2000000.0,6.592855431651654,1,488804.7438888889,20.5,72143.0,64,5,0,0,0.1310763773240791
0110054,60,8942700.0,0.4444385679611065,1,-1657849.735,0.5,487764.0,59,3,0,0,0.47789759365504514
0118015,120,93750.0,1.8251309591935554,5,290628.489,2.0,1319.0,54,1,0,1,0.5012430084015221
0124276,60,3000000.0,2.7571041666666667,1,239335.65,0.3333333333333333,79543.0,81,2,0,0,0.37541466957633807
0141920,240,22000000.0,0.0,4,0.0,0.0,293237.0,38,1,0,1,0.7290541308722056
0148118,60,2200000.0,0.0,1,0.0,0.0,41585.0,34,4,0,0,0.35733325528281706
0149583,60,6000000.0,0.0,1,0.0,0.0,151249.0,48,3,0,1,0.6257908700885872
0144996,156,5415240.0,0.0,1,0.0,0.0,90249.0,54,2,1,1,0.5673180570607166
0143052,180,66533.16,0.0,5,0.0,0.0,763.0,42,1,0,1,0.5569434359358206
0142857,72,50000000.0,3.882978723404255,4,3755.0,5.0,1111283.0,42,1,0,0,0.2850892596018167
0151158,125,66443926.1,0.0,1,0.0,0.0,3287397.0,55,1,1,1,0.7002975717202372
0144982,60,2000000.0,1.6219583404304467,1,1630173.4133333333,1.6666666666666667,49584.0,61,4,0,0,0.2752027592456037
0148062,72,1100000.0,0.0,3,0.0,0.0,24471.0,42,1,0,0,0.46366005786073594
0175463,60,355500.0,0.0,1,-15533.35,1.0,9014.0,35,2,1,0,0.4159599809523593
0173729,24,2000000.0,0.0,1,0.0,0.0,99366.0,44,2,0,1,0.560229240677388
0183670,84,1855000.0,3.097733491661934,1,255617.96666666667,1.0,38738.0,37,2,0,0,0.3815900675686017
0185751,84,34089853.93,0.0,1,0.0,0.0,690550.0,44,1,0,1,0.6641608789526285
0167196,120,4300000.0,2.5823286673679102,4,3576.76,2.6,145294.0,36,3,0,1,0.5263753538543369
0194795,180,16000000.0,0.0,4,0.0,0.0,17732.0,45,1,0,1,0.6133273437249406
0199383,18,600000.0,3.9511386391330254,1,12336.26,3.0,38745.0,49,2,0,0,0.4829400772566064
0183983,24,250000.0,2.496406801493246,1,194614.3433,3.0,12734.0,37,1,0,1,0.5707215492072931
0200381,12,850000.0,0.0,2,0.0,0.0,77979.0,44,2,1,1,0.6426346080272557
0227801,36,2500000.0,0.0,1,0.0,0.0,91047.0,43,2,1,1,0.5285569252113033
0272194,60,13000000.0,0.0,1,0.0,0.0,315139.0,57,1,0,1,0.6067582385445774
0285598,60,2300000.0,0.0,9,0.0,0.0,47745.0,26,1,0,0,0.13726937269372694
0281298,36,591000.0,0.0,3,0.0,0.0,21071.0,42,1,0,0,0.4870351794419921
0292480,36,270000.0,0.0,1,0.0,0.0,10190.0,27,1,0,0,0.39602191174895607
0310736,108,8046045.0,0.0,7,0.0,0.0,402820.0,42,1,0,0,0.48927221875329463
0314345,180,120000000.0,0.0,4,0.0,0.0,1611832.0,61,1,0,1,0.6775314858484266
0327592,120,3477168.0,0.0,4,0.0,0.0,60533.0,58,1,1,0,0.47002928094384006
0158612,54,4635889.56,0.0,1,0.0,0.0,85609.0,34,2,0,0,0.4983983311650363
0322127,18,2000000.0,1.8088634308109737,2,86.59500000000003,1.0,128278.0,46,4,1,1,0.751172229473668
